app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
27920,5,Mixed,87,91,178
27940,4,Mostly Negative,196,398,594
28000,5,Mixed,2271,1480,3751
29017,0,No user reviews,0,0,0
29180,8,Very Positive,820,98,918
31280,8,Very Positive,5506,833,6339
31700,8,Very Positive,304,51,355
31980,5,Mixed,12,8,20
32150,8,Very Positive,299,6,305
32160,8,Very Positive,215,38,253
32200,5,Mixed,76,44,120
32410,6,Mostly Positive,37,15,52
32460,9,Overwhelmingly Positive,1082,49,1131
33390,6,Mostly Positive,24,7,31
33650,8,Very Positive,284,38,322
33660,6,Mostly Positive,21,8,29
33670,5,Mixed,161,123,284
33680,8,Very Positive,904,81,985
33930,8,Very Positive,16375,1305,17680
33980,5,Mixed,74,44,118
34030,8,Very Positive,7309,621,7930
34270,8,Very Positive,1267,305,1572
34500,7,Positive,31,7,38
34830,5,Mixed,1759,1374,3133
34870,6,Mostly Positive,5362,2096,7458
34900,6,Mostly Positive,9475,2723,12198
34920,4,Mostly Negative,47,149,196
35130,8,Very Positive,2309,194,2503
35140,9,Overwhelmingly Positive,17684,659,18343
35320,8,Very Positive,292,58,350
35450,8,Very Positive,24118,1958,26076
35460,6,Mostly Positive,578,192,770
35470,0,No user reviews,0,0,0
35480,6,Mostly Positive,569,156,725
35600,5,Mixed,43,35,78
35700,9,Overwhelmingly Positive,8516,351,8867
35720,9,Overwhelmingly Positive,14968,588,15556
36000,5,Mixed,176,103,279
37500,6,Mostly Positive,32,9,41
37800,5,Mixed,25,12,37
38230,5,Mixed,54,77,131
38600,8,Very Positive,2071,192,2263
38700,8,Very Positive,1562,210,1772
38720,8,Very Positive,996,111,1107
39110,6,Mostly Positive,145,39,184
39140,8,Very Positive,10623,755,11378
39150,8,Very Positive,4876,559,5435
39160,5,Mixed,992,634,1626
39800,8,Very Positive,1944,247,2191
40100,8,Very Positive,4738,781,5519
40390,6,Mostly Positive,2681,785,3466
40400,8,Very Positive,956,168,1124
40420,5,Mixed,126,63,189
40700,9,Overwhelmingly Positive,4544,211,4755
40800,9,Overwhelmingly Positive,21448,1041,22489
40930,8,Very Positive,319,38,357
40960,8,Very Positive,456,82,538
40980,6,Mostly Positive,320,92,412
41000,8,Very Positive,3374,220,3594
41070,8,Very Positive,13693,1671,15364
41300,8,Very Positive,1436,106,1542
41740,6,Mostly Positive,252,64,316
41900,6,Mostly Positive,586,168,754
42000,5,Mixed,8,5,13
42120,6,Mostly Positive,1293,470,1763
42140,5,Mixed,167,79,246
42170,5,Mixed,412,309,721
42500,5,Mixed,229,141,370
42700,8,Very Positive,12481,1532,14013
42910,8,Very Positive,19454,1409,20863
42990,5,Mixed,323,425,748
43000,5,Mixed,432,290,722
43190,8,Very Positive,464,69,533
43600,7,Positive,36,4,40
44100,8,Very Positive,73,9,82
44350,8,Very Positive,9095,2089,11184
45000,8,Very Positive,286,29,315
45100,8,Very Positive,1273,248,1521
45300,5,Mixed,299,131,430
45400,8,Very Positive,764,66,830
45410,5,Mixed,142,107,249
45420,7,Positive,10,1,11
45450,8,Very Positive,442,42,484
45730,5,Mixed,123,127,250
45740,6,Mostly Positive,2294,783,3077
45760,8,Very Positive,7602,1015,8617
45770,6,Mostly Positive,1142,315,1457
46000,6,Mostly Positive,71,29,100
46450,5,Mixed,202,127,329
46470,0,No user reviews,0,0,0
46520,5,Mixed,158,117,275
46570,5,Mixed,96,79,175
46600,6,Mostly Positive,39,12,51
46770,6,Mostly Positive,185,55,240
47000,8,Very Positive,524,85,609
47540,8,Very Positive,250,49,299
47800,5,Mixed,344,156,500
48000,8,Very Positive,27176,1657,28833
48700,9,Overwhelmingly Positive,64072,1698,65770
48720,8,Very Positive,5157,796,5953
48950,8,Very Positive,392,61,453
49300,5,Mixed,57,66,123
49320,5,Mixed,29,25,54
49330,5,Mixed,75,43,118
49470,8,Very Positive,720,93,813
49520,9,Overwhelmingly Positive,119815,4536,124351
49540,5,Mixed,3777,3149,6926
49600,9,Overwhelmingly Positive,6028,292,6320
49810,8,Very Positive,105,23,128
49900,5,Mixed,178,78,256
50000,8,Very Positive,180,10,190
50130,8,Very Positive,26419,1541,27960
50400,7,Positive,43,6,49
50510,5,Mixed,57,85,142
50620,8,Very Positive,8038,906,8944
51060,8,Very Positive,73,11,84
55020,5,Mixed,39,28,67
55040,8,Very Positive,1385,164,1549
55100,5,Mixed,4496,3003,7499
55110,6,Mostly Positive,2451,886,3337
55140,8,Very Positive,1427,316,1743
55150,8,Very Positive,7279,574,7853
55190,0,No user reviews,0,0,0
55210,0,No user reviews,0,0,0
55230,9,Overwhelmingly Positive,38409,1416,39825
57000,8,Very Positive,83,9,92
57200,8,Very Positive,395,37,432
57300,8,Very Positive,17767,958,18725
57680,6,Mostly Positive,421,177,598
57690,8,Very Positive,8081,724,8805
57700,6,Mostly Positive,97,39,136
57800,5,Mixed,73,86,159
57900,5,Mixed,4097,2017,6114
58200,8,Very Positive,247,30,277
58230,8,Very Positive,79,15,94
58400,4,Mostly Negative,42,80,122
58550,4,Mostly Negative,192,399,591
58610,6,Mostly Positive,1766,510,2276
60350,8,Very Positive,67,9,76
60600,5,Mixed,27,21,48
60700,4,Mostly Negative,9,25,34
61100,6,Mostly Positive,163,51,214
61600,8,Very Positive,415,58,473
61700,8,Very Positive,1191,108,1299
61730,8,Very Positive,245,13,258
62000,8,Very Positive,407,33,440
62100,8,Very Positive,581,38,619
63000,8,Very Positive,648,159,807
63200,6,Mostly Positive,709,192,901
63230,0,No user reviews,0,0,0
63380,8,Very Positive,18751,2493,21244
63700,8,Very Positive,600,140,740
63710,8,Very Positive,2921,457,3378
63940,5,Mixed,347,211,558
64000,8,Very Positive,2609,351,2960
65300,8,Very Positive,1519,197,1716
65400,8,Very Positive,85,17,102
65710,8,Very Positive,253,48,301
65800,8,Very Positive,10202,847,11049
65980,5,Mixed,8945,7767,16712
67000,6,Mostly Positive,334,106,440
67370,8,Very Positive,9732,1009,10741
70000,8,Very Positive,11018,2113,13131
70120,4,Mostly Negative,157,282,439
70300,9,Overwhelmingly Positive,6175,233,6408
70500,6,Mostly Positive,31,12,43
70600,8,Very Positive,1760,235,1995
70620,8,Very Positive,360,79,439
71230,8,Very Positive,860,215,1075
71240,8,Very Positive,260,50,310
71250,8,Very Positive,2210,440,2650
71260,8,Very Positive,495,71,566
71300,0,No user reviews,0,0,0
71310,0,No user reviews,0,0,0
71340,8,Very Positive,5887,434,6321
72000,8,Very Positive,649,94,743
72200,8,Very Positive,2203,489,2692
72400,6,Mostly Positive,219,66,285
72500,5,Mixed,35,38,73
72520,0,No user reviews,0,0,0
72530,0,No user reviews,0,0,0
72850,8,Very Positive,216040,13281,229321
72900,5,Mixed,132,73,205
73010,6,Mostly Positive,576,161,737
73060,4,Mostly Negative,32,64,96
78000,9,Overwhelmingly Positive,2373,99,2472
80000,4,Mostly Negative,44,109,153
80200,6,Mostly Positive,258,65,323
80310,8,Very Positive,1141,114,1255
80330,8,Very Positive,789,96,885
80340,8,Very Positive,322,21,343
80350,8,Very Positive,258,14,272
80360,8,Very Positive,282,10,292
90200,8,Very Positive,312,54,366
90500,5,Mixed,61,89,150
90800,0,6 user reviews,5,1,6
91100,8,Very Positive,725,87,812
91200,8,Very Positive,3132,420,3552
91310,8,Very Positive,18344,2849,21193
91600,8,Very Positive,2469,271,2740
91700,8,Very Positive,4113,795,4908
91800,8,Very Positive,68,8,76
91810,6,Mostly Positive,19,7,26
92000,5,Mixed,1241,776,2017
92100,5,Mixed,1034,611,1645
92200,8,Very Positive,117,7,124
92210,8,Very Positive,130,25,155
92220,8,Very Positive,113,21,134
92300,6,Mostly Positive,561,236,797
92600,6,Mostly Positive,123,39,162
92800,8,Very Positive,3525,300,3825
93200,8,Very Positive,807,143,950
94200,9,Overwhelmingly Positive,1935,100,2035
94400,8,Very Positive,4966,681,5647
95000,6,Mostly Positive,114,34,148
95300,6,Mostly Positive,682,195,877
95400,8,Very Positive,2678,155,2833
95900,5,Mixed,153,99,252
96100,8,Very Positive,7045,1108,8153
96800,5,Mixed,165,95,260
96900,5,Mixed,21,16,37
97000,8,Very Positive,1484,150,1634
97330,8,Very Positive,906,114,1020
98200,8,Very Positive,1952,399,2351
98300,8,Very Positive,968,101,1069
98400,8,Very Positive,2970,548,3518
98600,8,Very Positive,196,49,245
98800,8,Very Positive,3799,218,4017
98810,0,No user reviews,0,0,0
98900,5,Mixed,126,75,201
99100,4,Mostly Negative,96,269,365
99110,0,No user reviews,0,0,0
99120,5,Mixed,30,18,48
99200,8,Very Positive,97,10,107
99300,8,Very Positive,1628,261,1889
99400,5,Mixed,146,158,304
99700,8,Very Positive,713,93,806
99900,8,Very Positive,13847,2717,16564
99910,8,Very Positive,922,212,1134
99930,0,No user reviews,0,0,0
102200,6,Mostly Positive,251,76,327
102210,0,No user reviews,0,0,0
102400,5,Mixed,20,9,29
102500,8,Very Positive,7760,1057,8817
102600,9,Overwhelmingly Positive,5168,154,5322
102700,5,Mixed,4783,4286,9069
102810,8,Very Positive,81,18,99
104000,6,Mostly Positive,142,45,187
104020,6,Mostly Positive,87,35,122
104900,6,Mostly Positive,20385,6841,27226
105000,6,Mostly Positive,898,291,1189
105300,6,Mostly Positive,282,73,355
105420,6,Mostly Positive,154,42,196
105600,9,Overwhelmingly Positive,207331,5325,212656
105700,5,Mixed,70,47,117
105800,8,Very Positive,536,127,663
107100,9,Overwhelmingly Positive,25848,899,26747
107200,8,Very Positive,2296,178,2474
107410,8,Very Positive,89908,9762,99670
107800,8,Very Positive,1416,124,1540
108200,8,Very Positive,1262,227,1489
108210,5,Mixed,169,100,269
108500,8,Very Positive,515,66,581
108700,6,Mostly Positive,357,147,504
108710,8,Very Positive,19943,1754,21697
109700,5,Mixed,53,30,83
110500,5,Mixed,51,24,75
110600,5,Mixed,27,26,53
110610,6,Mostly Positive,47,17,64
110630,5,Mixed,23,15,38
110800,8,Very Positive,12349,1856,14205
111100,8,Very Positive,340,75,415
111300,6,Mostly Positive,21,8,29
111400,5,Mixed,181,199,380
111600,8,Very Positive,476,77,553
111800,6,Mostly Positive,536,148,684
111900,4,Mostly Negative,271,991,1262
112100,8,Very Positive,321,70,391
113020,8,Very Positive,6583,653,7236
113200,9,Overwhelmingly Positive,40199,1673,41872
113400,5,Mixed,17657,10053,27710
113420,5,Mixed,3637,2788,6425
115100,8,Very Positive,2459,177,2636
115110,8,Very Positive,1187,135,1322
115120,8,Very Positive,510,108,618
115800,8,Very Positive,3002,415,3417
116100,5,Mixed,185,114,299
116120,6,Mostly Positive,106,28,134
200010,8,Very Positive,1107,196,1303
200020,5,Mixed,116,169,285
200130,6,Mostly Positive,145,45,190
200150,5,Mixed,90,105,195
200170,8,Very Positive,3428,597,4025
200190,5,Mixed,65,39,104
200210,8,Very Positive,20195,3857,24052
200260,9,Overwhelmingly Positive,22372,994,23366
200370,5,Mixed,266,154,420
200410,5,Mixed,45,45,90
200550,4,Mostly Negative,60,102,162
200710,8,Very Positive,27172,1507,28679
200900,9,Overwhelmingly Positive,4698,217,4915
200910,8,Very Positive,1095,165,1260
200940,8,Very Positive,1918,197,2115
201420,8,Very Positive,620,119,739
201510,1,Overwhelmingly Negative,236,1662,1898
201570,6,Mostly Positive,1366,430,1796
201810,8,Very Positive,23454,2554,26008
201830,5,Mixed,981,536,1517
201930,0,No user reviews,0,0,0
202070,8,Very Positive,178,37,215
202130,5,Mixed,171,199,370
202170,8,Very Positive,14153,815,14968
202270,5,Mixed,196,191,387
202310,5,Mixed,476,400,876
202370,5,Mixed,31,20,51
202410,8,Very Positive,103,20,123
202530,5,Mixed,530,609,1139
202730,8,Very Positive,334,54,388
202750,6,Mostly Positive,3171,1257,4428
202970,8,Very Positive,22831,3964,26795
203140,8,Very Positive,19955,2076,22031
203160,9,Overwhelmingly Positive,77826,3230,81056
203210,8,Very Positive,759,72,831
203290,6,Mostly Positive,5651,1655,7306
203350,8,Very Positive,653,138,791
203560,8,Very Positive,197,44,241
203650,6,Mostly Positive,558,165,723
203750,8,Very Positive,3971,637,4608
203770,8,Very Positive,24221,3111,27332
203830,8,Very Positive,1123,172,1295
203990,8,Very Positive,196,22,218
204060,6,Mostly Positive,1705,444,2149
204100,8,Very Positive,19080,3783,22863
204220,6,Mostly Positive,155,63,218
204240,8,Very Positive,2636,331,2967
204360,9,Overwhelmingly Positive,42208,1596,43804
204440,8,Very Positive,110,24,134
204530,8,Very Positive,1788,108,1896
204580,7,Positive,21,4,25
204630,8,Very Positive,1822,214,2036
204760,4,Mostly Negative,50,137,187
204840,5,Mixed,47,48,95
204860,5,Mixed,164,84,248
204880,8,Very Positive,7007,480,7487
204960,5,Mixed,200,182,382
205060,5,Mixed,63,47,110
205070,6,Mostly Positive,49,18,67
205080,5,Mixed,62,39,101
205090,5,Mixed,64,59,123
205100,9,Overwhelmingly Positive,36528,1046,37574
205230,8,Very Positive,2490,385,2875
205530,5,Mixed,46,35,81
205610,5,Mixed,422,186,608
205650,8,Very Positive,1399,249,1648
205690,6,Mostly Positive,220,60,280
205730,8,Very Positive,520,70,590
205810,5,Mixed,103,69,172
205830,8,Very Positive,169,14,183
205910,8,Very Positive,3255,273,3528
205950,8,Very Positive,2892,517,3409
205990,5,Mixed,521,261,782
206190,9,Overwhelmingly Positive,9542,233,9775
206210,8,Very Positive,8363,1511,9874
206230,5,Mixed,24,15,39
206370,8,Very Positive,506,52,558
206420,8,Very Positive,47037,3961,50998
206440,9,Overwhelmingly Positive,37990,1214,39204
206500,8,Very Positive,6783,1214,7997
206690,8,Very Positive,402,80,482
207000,5,Mixed,78,50,128
207020,6,Mostly Positive,293,75,368
207040,8,Very Positive,724,156,880
207080,8,Very Positive,1455,115,1570
207140,8,Very Positive,18253,1196,19449
207170,8,Very Positive,4305,239,4544
207190,5,Mixed,64,64,128
207230,6,Mostly Positive,5281,1897,7178
207250,6,Mostly Positive,326,120,446
207420,6,Mostly Positive,512,214,726
207430,5,Mixed,326,318,644
207610,9,Overwhelmingly Positive,40968,1341,42309
207670,5,Mixed,27,34,61
207690,9,Overwhelmingly Positive,3241,110,3351
207710,5,Mixed,24,15,39
207730,4,Mostly Negative,123,246,369
207750,8,Very Positive,1104,193,1297
207930,5,Mixed,592,255,847
208090,8,Very Positive,32752,5111,37863
208140,8,Very Positive,5361,1269,6630
208200,8,Very Positive,3448,680,4128
208400,8,Very Positive,617,48,665
208460,4,Mostly Negative,11,35,46
208500,8,Very Positive,1252,147,1399
208520,5,Mixed,956,581,1537
208580,8,Very Positive,7015,800,7815
208600,8,Very Positive,452,87,539
208620,5,Mixed,52,27,79
208630,6,Mostly Positive,51,14,65
208640,7,Positive,44,5,49
208650,6,Mostly Positive,27501,11489,38990
208670,8,Very Positive,1213,283,1496
208710,5,Mixed,23,10,33
208730,6,Mostly Positive,1339,544,1883
208750,8,Very Positive,1986,198,2184
209000,8,Very Positive,17958,2944,20902
209060,8,Very Positive,489,90,579
209080,8,Very Positive,11778,1031,12809
209160,5,Mixed,13833,10061,23894
209230,8,Very Positive,184,37,221
209270,5,Mixed,475,206,681
209330,5,Mixed,258,167,425
209360,6,Mostly Positive,39,12,51
209370,8,Very Positive,1795,116,1911
209390,4,Mostly Negative,15,50,65
209520,5,Mixed,379,204,583
209610,5,Mixed,58,46,104
209630,8,Very Positive,239,42,281
209650,5,Mixed,12415,7868,20283
209670,5,Mixed,2479,1149,3628
209690,5,Mixed,119,76,195
209730,5,Mixed,265,290,555
209790,8,Very Positive,456,56,512
209850,5,Mixed,31,18,49
209870,6,Mostly Positive,11300,3699,14999
209950,8,Very Positive,546,50,596
210170,6,Mostly Positive,137,54,191
210490,3,Negative,1,47,48
210550,8,Very Positive,366,46,412
210770,8,Very Positive,10689,1112,11801
210870,8,Very Positive,159,15,174
210950,8,Very Positive,487,35,522
210970,8,Very Positive,5493,1046,6539
211160,5,Mixed,755,907,1662
211180,8,Very Positive,355,26,381
211260,8,Very Positive,1828,286,2114
211280,5,Mixed,165,117,282
211340,8,Very Positive,749,86,835
211360,8,Very Positive,430,89,519
211380,0,No user reviews,0,0,0
211400,8,Very Positive,8581,2134,10715
211420,8,Very Positive,59608,5624,65232
211440,8,Very Positive,907,142,1049
211580,5,Mixed,239,221,460
211800,6,Mostly Positive,88,29,117
211820,8,Very Positive,64838,6605,71443
212010,6,Mostly Positive,965,336,1301
212030,6,Mostly Positive,761,195,956
212050,8,Very Positive,335,28,363
212070,6,Mostly Positive,7738,2335,10073
212090,0,No user reviews,0,0,0
212110,6,Mostly Positive,134,47,181
212480,9,Overwhelmingly Positive,9416,493,9909
212700,5,Mixed,92,86,178
212780,5,Mixed,183,101,284
213050,0,No user reviews,0,0,0
213610,8,Very Positive,3814,658,4472
213650,8,Very Positive,1229,202,1431
213670,9,Overwhelmingly Positive,32620,801,33421
213850,8,Very Positive,3492,746,4238
214050,0,No user reviews,0,0,0
214100,5,Mixed,27,25,52
214130,5,Mixed,82,45,127
214190,5,Mixed,2406,1563,3969
214270,6,Mostly Positive,8,3,11
214340,8,Very Positive,6368,709,7077
214360,6,Mostly Positive,1138,409,1547
214400,0,4 user reviews,4,0,4
214420,6,Mostly Positive,5571,1928,7499
214510,8,Very Positive,3107,320,3427
214550,8,Very Positive,443,106,549
214560,9,Overwhelmingly Positive,13793,369,14162
214570,6,Mostly Positive,175,51,226
214590,8,Very Positive,838,131,969
214630,5,Mixed,123,90,213
214730,9,Overwhelmingly Positive,2903,141,3044
214770,8,Very Positive,4607,299,4906
214790,8,Very Positive,736,128,864
214830,8,Very Positive,1083,157,1240
214870,6,Mostly Positive,1997,602,2599
214910,5,Mixed,159,189,348
214950,6,Mostly Positive,27397,7235,34632
214970,8,Very Positive,893,173,1066
215080,6,Mostly Positive,3686,1118,4804
215390,5,Mixed,6,6,12
215450,7,Positive,41,2,43
215470,6,Mostly Positive,4027,1167,5194
215510,6,Mostly Positive,1912,503,2415
215530,8,Very Positive,4786,966,5752
215590,0,No user reviews,0,0,0
215630,5,Mixed,442,214,656
215670,5,Mixed,1013,480,1493
215690,6,Mostly Positive,719,231,950
215710,8,Very Positive,259,53,312
215770,5,Mixed,50,42,92
215870,5,Mixed,143,212,355
216090,8,Very Positive,326,18,344
216110,8,Very Positive,644,152,796
216130,4,Mostly Negative,28,97,125
216250,8,Very Positive,7129,1197,8326
216260,8,Very Positive,416,34,450
216290,8,Very Positive,165,13,178
216890,8,Very Positive,1074,255,1329
216910,6,Mostly Positive,791,304,1095
217100,5,Mixed,391,446,837
217140,5,Mixed,1351,617,1968
217270,6,Mostly Positive,120,47,167
217290,8,Very Positive,123,21,144
217690,5,Mixed,836,445,1281
217790,6,Mostly Positive,348,138,486
218060,8,Very Positive,2447,203,2650
218410,9,Overwhelmingly Positive,2571,85,2656
218510,6,Mostly Positive,381,163,544
218620,8,Very Positive,265676,48200,313876
218640,8,Very Positive,4934,1180,6114
218660,6,Mostly Positive,107,27,134
218680,8,Very Positive,5742,460,6202
218740,8,Very Positive,1894,333,2227
218820,6,Mostly Positive,1415,577,1992
219150,9,Overwhelmingly Positive,39104,959,40063
219190,8,Very Positive,512,54,566
219200,8,Very Positive,253,49,302
219340,6,Mostly Positive,553,182,735
219640,8,Very Positive,46448,9497,55945
219700,5,Mixed,435,242,677
219830,8,Very Positive,2743,547,3290
219910,8,Very Positive,1456,135,1591
219950,8,Very Positive,465,65,530
219990,8,Very Positive,21546,1725,23271
220260,8,Very Positive,3769,342,4111
220440,8,Very Positive,12340,704,13044
220460,8,Very Positive,601,132,733
220740,8,Very Positive,1228,106,1334
220780,8,Very Positive,7140,390,7530
220820,8,Very Positive,1883,340,2223
220900,5,Mixed,203,121,324
221040,8,Very Positive,12281,3024,15305
221180,8,Very Positive,316,34,350
221380,8,Very Positive,45226,2622,47848
221540,8,Very Positive,1477,333,1810
221640,9,Overwhelmingly Positive,18102,542,18644
221810,8,Very Positive,1528,231,1759
221830,8,Very Positive,244,46,290
222140,6,Mostly Positive,303,113,416
222180,6,Mostly Positive,18,7,25
222320,0,No user reviews,0,0,0
222420,8,Very Positive,753,147,900
222440,8,Very Positive,763,59,822
222480,8,Very Positive,4238,771,5009
222640,6,Mostly Positive,445,131,576
222660,8,Very Positive,277,44,321
222730,8,Very Positive,3340,808,4148
222880,8,Very Positive,74283,7029,81312
222940,8,Very Positive,3772,468,4240
223000,8,Very Positive,139,23,162
223100,5,Mixed,5434,4415,9849
223140,0,No user reviews,0,0,0
223220,6,Mostly Positive,1192,301,1493
223330,6,Mostly Positive,824,236,1060
223410,6,Mostly Positive,439,182,621
223430,4,Mostly Negative,104,200,304
223450,6,Mostly Positive,162,46,208
223470,9,Overwhelmingly Positive,29051,1427,30478
223510,6,Mostly Positive,695,195,890
223730,8,Very Positive,365,57,422
223810,8,Very Positive,964,119,1083
223850,8,Very Positive,1837,239,2076
224040,6,Mostly Positive,186,52,238
224260,8,Very Positive,42230,4850,47080
224460,8,Very Positive,3661,374,4035
224480,8,Very Positive,5606,412,6018
224540,5,Mixed,10901,5657,16558
224760,8,Very Positive,9685,816,10501
224820,9,Overwhelmingly Positive,1184,43,1227
224860,4,Mostly Negative,222,463,685
224900,5,Mixed,293,212,505
225080,9,Overwhelmingly Positive,29593,1509,31102
225160,8,Very Positive,1601,126,1727
225260,8,Very Positive,11241,748,11989
225280,8,Very Positive,915,151,1066
225360,5,Mixed,410,445,855
225420,5,Mixed,1040,793,1833
225540,6,Mostly Positive,26990,10656,37646
225600,6,Mostly Positive,2636,1043,3679
226100,6,Mostly Positive,455,164,619
226560,5,Mixed,465,328,793
226580,6,Mostly Positive,982,289,1271
226620,8,Very Positive,993,92,1085
226720,5,Mixed,1441,909,2350
226760,7,Positive,22,4,26
226780,5,Mixed,35,41,76
226820,8,Very Positive,53,4,57
226840,8,Very Positive,4040,934,4974
226860,6,Mostly Positive,5533,1669,7202
226920,0,No user reviews,0,0,0
227000,9,Overwhelmingly Positive,1643,38,1681
227020,5,Mixed,177,133,310
227060,5,Mixed,216,137,353
227080,8,Very Positive,2296,147,2443
227100,8,Very Positive,2962,391,3353
227180,5,Mixed,1556,759,2315
227200,8,Very Positive,877,104,981
227220,8,Very Positive,1413,188,1601
227300,9,Overwhelmingly Positive,133355,3620,136975
227380,6,Mostly Positive,288,75,363
227400,5,Mixed,313,302,615
227480,6,Mostly Positive,1576,669,2245
227560,5,Mixed,313,158,471
227580,8,Very Positive,1481,172,1653
227600,8,Very Positive,1136,109,1245
227780,8,Very Positive,1160,122,1282
227800,6,Mostly Positive,114,39,153
227860,5,Mixed,2341,2106,4447
228280,8,Very Positive,3652,593,4245
228300,8,Very Positive,8042,1523,9565
228320,5,Mixed,88,91,179
228360,8,Very Positive,867,54,921
228400,5,Mixed,2482,1772,4254
